query,domain,intent
Company wala salary nahi de raha hai bolta hai baad me milega.,LABOUR,UNPAID_WAGES
Can police take action against online cyberbullying?,CYBER,CYBERBULLYING
Mandatory overtime without pay.,LABOUR,WORKING_HOURS
Long working hours dispute.,LABOUR,WORKING_HOURS
Pati kharcha nahi de raha court me case kaise kare?,WOMEN,MAINTENANCE
Online fraud se paise kaise wapas milenge?,CYBER,ONLINE_FRAUD
Security deposit refund dispute with landlord.,PROPERTY,SECURITY_DEPOSIT
An impostor created a fake profile using my photos and personal information.,CYBER,IDENTITY_THEFT
An unauthorized person gained access to my bank netbanking account and changed details.,CYBER,ACCOUNT_HACKING
Crypto account hack issue.,CYBER,ACCOUNT_HACKING
Unpaid salary grievance.,LABOUR,UNPAID_WAGES
My landlord suddenly increased the rent by fifty percent in violation of our lease agreement.,PROPERTY,RENT_DISPUTE
Sudden termination issue.,LABOUR,WRONGFUL_TERMINATION
Fired without notice period.,LABOUR,WRONGFUL_TERMINATION
Saman kharab nikla badal nahi rahe.,CONSUMER,DEFECTIVE_PRODUCT
Refund grievance portal.,CONSUMER,REFUND
I filed for divorce and want to know how to claim interim maintenance from my husband.,WOMEN,MAINTENANCE
Malkin mera security deposit wapas nahi de raha ghar khali karne ke baad.,PROPERTY,SECURITY_DEPOSIT
Dahej pratha ke khilaf kya kar sakte hain?,WOMEN,DOWRY
Can a wife claim maintenance if she is living separately due to domestic violence?,WOMEN,MAINTENANCE
Can a company refuse to pay salary for notice period served?,LABOUR,UNPAID_WAGES
Employer didn't pay salary before firing me.,LABOUR,UNPAID_WAGES
My landlord is entering my rented apartment without my permission or prior notice when I am away.,PROPERTY,TENANT_RIGHTS
Unlawful job termination complaint.,LABOUR,WRONGFUL_TERMINATION
Pati kharcha nahi de raha aur mujhe aur bachho ko chhod diya hai.,WOMEN,MAINTENANCE
Boss fired me because I refused to work extra hours.,LABOUR,WRONGFUL_TERMINATION
Maintenance legal advice.,WOMEN,MAINTENANCE
Retaliation for sexual harassment complaint.,WOMEN,SEXUAL_HARASSMENT
Faulty product replacement dispute.,CONSUMER,DEFECTIVE_PRODUCT
Domestic violence ke khilaf kahan jaye?,WOMEN,DOMESTIC_VIOLENCE
Identity theft hone par kya karna chahiye?,CYBER,IDENTITY_THEFT
Office harassment issue.,LABOUR,WORKPLACE_HARASSMENT
Someone created a hateful meme page targeting me and my college friends.,CYBER,CYBERBULLYING
An anonymous person is spreading malicious lies about me on Facebook groups.,CYBER,CYBERBULLYING
Defective product compensation claim.,CONSUMER,DEFECTIVE_PRODUCT
Passport identity theft issue.,CYBER,IDENTITY_THEFT
My husband is threatening to kill me if I report his domestic violence.,WOMEN,DOMESTIC_VIOLENCE
The owner is not allowing me to install an AC or necessary electrical appliances.,PROPERTY,TENANT_RIGHTS
Tenant privacy and rights violation complaint.,PROPERTY,TENANT_RIGHTS
My digital signature certificate was stolen and misused by someone else.,CYBER,IDENTITY_THEFT
Security deposit nahi de raha landlord ghar chhodne par.,PROPERTY,SECURITY_DEPOSIT
YouTube channel hacking complaint.,CYBER,ACCOUNT_HACKING
Account hack ho gaya hai.,CYBER,ACCOUNT_HACKING
Religion ke naam par pareshan kar raha hai landlord.,PROPERTY,TENANT_RIGHTS
Partial security deposit refund issue.,PROPERTY,SECURITY_DEPOSIT
My manager insists on late-night meetings alone and makes sexual advances.,WOMEN,SEXUAL_HARASSMENT
Fired suddenly after 5 years of service.,LABOUR,WRONGFUL_TERMINATION
Warranty claim reject kar diya bina baat ke.,CONSUMER,WARRANTY
Private chat leak karke badnam kar rahe hain.,CYBER,CYBERBULLYING
My boss forces me to stay back late every night without overtime.,LABOUR,WORKING_HOURS
Refund nahi aaya abhi tak.,CONSUMER,REFUND
How to file a POSH complaint for sexual harassment at workplace?,WOMEN,SEXUAL_HARASSMENT
Mera ID proof use karke fraud kiya kisi ne.,CYBER,IDENTITY_THEFT
National cyber crime portal reporting guide.,CYBER,ONLINE_FRAUD
Delayed refund complaint.,CONSUMER,REFUND
Online scam complaint procedure.,CYBER,ONLINE_FRAUD
Online fraud ki complaint kahan darj kare?,CYBER,ONLINE_FRAUD
Internet cable kaat diya landlord ne.,PROPERTY,TENANT_RIGHTS
Child and spousal maintenance grievance.,WOMEN,MAINTENANCE
Threatening rent dispute case.,PROPERTY,RENT_DISPUTE
Office me sexual harassment ho raha hai kya kare?,WOMEN,SEXUAL_HARASSMENT
Working hours limit in private companies.,LABOUR,WORKING_HOURS
Identity theft case.,CYBER,IDENTITY_THEFT
The laptop screen flickers and has hardware defects out of the box.,CONSUMER,DEFECTIVE_PRODUCT
Bina overtime ke der tak rokte hain.,LABOUR,WORKING_HOURS
My employer does not allow any breaks during my shift and demands continuous work.,LABOUR,WORKING_HOURS
Consumer court case for refund.,CONSUMER,REFUND
Security deposit withholding issue.,PROPERTY,SECURITY_DEPOSIT
Warranty claim issue.,CONSUMER,WARRANTY
Sudden job termination without notice.,LABOUR,WRONGFUL_TERMINATION
Paisa phas gaya refund nahi ho raha.,CONSUMER,REFUND
Rent dispute between tenant and landlord.,PROPERTY,RENT_DISPUTE
Cyberbullying ka shikar hu.,CYBER,CYBERBULLYING
Can an office force you to work 12 hours?,LABOUR,WORKING_HOURS
Social media par badnam kar raha hai.,CYBER,CYBERBULLYING
People are posting hateful comments on my videos just to bully me.,CYBER,CYBERBULLYING
My in-laws and husband are continuously harassing me and demanding a car and cash as dowry.,WOMEN,DOWRY
Credit card identity theft.,CYBER,IDENTITY_THEFT
Cyberbullying and online harassment complaint.,CYBER,CYBERBULLYING
Kisi ne mere naam se fake id bana liya.,CYBER,IDENTITY_THEFT
My salary has been pending since Diwali.,LABOUR,UNPAID_WAGES
Consumer complaint for warranty breach.,CONSUMER,WARRANTY
Defective product delivered complaint.,CONSUMER,DEFECTIVE_PRODUCT
Someone used a fake loan app to extort money after hacking my contacts.,CYBER,ONLINE_FRAUD
Unrealistic working hours.,LABOUR,WORKING_HOURS
Ghar me marpeet aur atyachar ho raha hai mere sath.,WOMEN,DOMESTIC_VIOLENCE
Someone breached my Twitter account and posted spam links.,CYBER,ACCOUNT_HACKING
Company fired me while I was on sick leave.,LABOUR,WRONGFUL_TERMINATION
Warranty claim mana kar diya company ne.,CONSUMER,WARRANTY
The refrigerator I purchased has a faulty compressor right from day one.,CONSUMER,DEFECTIVE_PRODUCT
A fraudster scammed me on a classifieds website pretending to buy my old item.,CYBER,ONLINE_FRAUD
What are my legal protections against identity theft?,CYBER,IDENTITY_THEFT
Workplace harassment and abuse.,LABOUR,WORKPLACE_HARASSMENT
Warranty support issue.,CONSUMER,WARRANTY
Bina notice ke job se nikalne par kya kare?,LABOUR,WRONGFUL_TERMINATION
Office mein pareshan kiya ja raha hai.,LABOUR,WORKPLACE_HARASSMENT
Ghar se nikal diya marpeet karke.,WOMEN,DOMESTIC_VIOLENCE
Cyberbullying complaint procedure.,CYBER,CYBERBULLYING
Manager is continuously shouting and insulting me in front of everyone.,LABOUR,WORKPLACE_HARASSMENT
Excessive work hours without break.,LABOUR,WORKING_HOURS
How to resolve a rent hike dispute legally?,PROPERTY,RENT_DISPUTE
Deposit ka paisa nahi mil raha.,PROPERTY,SECURITY_DEPOSIT
What are the basic legal rights of a tenant in India?,PROPERTY,TENANT_RIGHTS
Deposit wapas nahi mil raha police complaint kare kya?,PROPERTY,SECURITY_DEPOSIT
I returned a defective dress but store credit was given instead of cash refund.,CONSUMER,REFUND
Sexual harassment ki complaint karne par job se nikal diya.,WOMEN,SEXUAL_HARASSMENT
Job loss due to unfair termination.,LABOUR,WRONGFUL_TERMINATION
My husband's family locked me up because my family couldn't pay dowry.,WOMEN,DOWRY
Can a landlord dictate what time I can enter the building?,PROPERTY,TENANT_RIGHTS
Can I sue a company for selling a defective product?,CONSUMER,DEFECTIVE_PRODUCT
Defective product issue.,CONSUMER,DEFECTIVE_PRODUCT
Tenant society interference dispute.,PROPERTY,TENANT_RIGHTS
My flight was cancelled by the airline and they are not processing my ticket refund.,CONSUMER,REFUND
My cloud storage account was hacked and private photos were accessed.,CYBER,ACCOUNT_HACKING
Workplace discrimination and harassment.,LABOUR,WORKPLACE_HARASSMENT
What are the legal steps for online account hacking in India?,CYBER,ACCOUNT_HACKING
Mera salary nahi mila complaint kaise kare?,LABOUR,UNPAID_WAGES
How can I get legal protection against domestic violence in India?,WOMEN,DOMESTIC_VIOLENCE
Can a company charge a cancellation fee and deny refund?,CONSUMER,REFUND
Delayed salary and unpaid bonus issues.,LABOUR,UNPAID_WAGES
Working hours grievance.,LABOUR,WORKING_HOURS
Can an employer harass an employee like this?,LABOUR,WORKPLACE_HARASSMENT
My colleague stalked me outside the office and harassed me.,WOMEN,SEXUAL_HARASSMENT
Terminated without reason.,LABOUR,WRONGFUL_TERMINATION
The authorized service center claims my warranty is void due to a fake reason.,CONSUMER,WARRANTY
YouTube channel hack ho gaya.,CYBER,ACCOUNT_HACKING
Unreturned security deposit from service provider.,CONSUMER,REFUND
My former landlord deducted the entire security deposit for normal wear and tear.,PROPERTY,SECURITY_DEPOSIT
Tenant rights resolution.,PROPERTY,TENANT_RIGHTS
E-commerce website is delaying my refund despite successful product return.,CONSUMER,REFUND
My dues are stuck with my employer.,LABOUR,UNPAID_WAGES
How to recover a hacked social media account?,CYBER,ACCOUNT_HACKING
Gaming account hack issue.,CYBER,ACCOUNT_HACKING
UPI fraud and money theft.,CYBER,ONLINE_FRAUD
Warranty repair issue.,CONSUMER,WARRANTY
Night shift timings are being forced against my contract.,LABOUR,WORKING_HOURS
Money refund issue.,CONSUMER,REFUND
Landlord is discriminating against me based on my food habits and religion.,PROPERTY,TENANT_RIGHTS
Can I file a cyber complaint for account hacking?,CYBER,ACCOUNT_HACKING
Account hack kar liya kisi ne.,CYBER,ACCOUNT_HACKING
Malkin privacy violate kar raha hai bina bataye ghar aata hai.,PROPERTY,TENANT_RIGHTS
Tenant right to essential repairs.,PROPERTY,TENANT_RIGHTS
Dowry mental harassment grievance.,WOMEN,DOWRY
Warranty me mana kar rahe hain.,CONSUMER,WARRANTY
Extended warranty service fraud.,CONSUMER,WARRANTY
Bina kharcha diye chhod diya pati ne.,WOMEN,MAINTENANCE
Rent payment dispute.,PROPERTY,RENT_DISPUTE
My in-laws physically abused me over unmet dowry demands.,WOMEN,DOWRY
My boss is abusing me verbally every day.,LABOUR,WORKPLACE_HARASSMENT
Rent disagreement action steps.,PROPERTY,RENT_DISPUTE
Landlord stopped picking up my calls and is withholding my advance deposit money.,PROPERTY,SECURITY_DEPOSIT
My crypto exchange account was hacked and digital assets were stolen.,CYBER,ACCOUNT_HACKING
Can my landlord restrict my guests or dictate who can visit my rented home?,PROPERTY,TENANT_RIGHTS
Defamatory cyberbullying dispute.,CYBER,CYBERBULLYING
Sexual harassment legal help.,WOMEN,SEXUAL_HARASSMENT
Dowry law legal help.,WOMEN,DOWRY
Cyberbullying FIR kaise darj kare?,CYBER,CYBERBULLYING
Bina warning ke job se nikal diya.,LABOUR,WRONGFUL_TERMINATION
Merchant refund dispute.,CONSUMER,REFUND
Dowry harassment complaint procedure.,WOMEN,DOWRY
Cyber bullying se pareshan hu.,CYBER,CYBERBULLYING
Paisa nahi de raha manager.,LABOUR,UNPAID_WAGES
Job se nikal diya bina reason.,LABOUR,WRONGFUL_TERMINATION
Defective appliance dispute.,CONSUMER,DEFECTIVE_PRODUCT
A coworker is sending me inappropriate sexually suggestive messages and touching me inappropriately.,WOMEN,SEXUAL_HARASSMENT
Paisa kaat liya par refund nahi de rahe.,CONSUMER,REFUND
Workplace bullying and harassment.,LABOUR,WORKPLACE_HARASSMENT
My employer is withholding my final settlement and pending wages without any valid reason.,LABOUR,UNPAID_WAGES
Email cyberbullying report.,CYBER,CYBERBULLYING
My corporate email login was breached by hackers.,CYBER,ACCOUNT_HACKING
The gym cancelled my membership but won't refund the remaining balance.,CONSUMER,REFUND
Warranty violation complaint.,CONSUMER,WARRANTY
Office me bahut pareshan kar rahe hain.,LABOUR,WORKPLACE_HARASSMENT
Ghar ki repair nahi karwa raha landlord.,PROPERTY,TENANT_RIGHTS
Cyber crime hacking grievance.,CYBER,ACCOUNT_HACKING
My supervisor makes vulgar gestures and passes sexual remarks daily.,WOMEN,SEXUAL_HARASSMENT
Can I legally claim monthly maintenance from my estranged husband who refuses to support us?,WOMEN,MAINTENANCE
Can I file a case for domestic violence against my husband?,WOMEN,DOMESTIC_VIOLENCE
Unfair termination legal query.,LABOUR,WRONGFUL_TERMINATION
Advance money refund issue with owner.,PROPERTY,SECURITY_DEPOSIT
Warranty claim rejection dispute.,CONSUMER,WARRANTY
Dowry dispute resolution.,WOMEN,DOWRY
Defective piece de diya dukan se.,CONSUMER,DEFECTIVE_PRODUCT
Desertion and maintenance claim.,WOMEN,MAINTENANCE
Domestic violence and forceful eviction.,WOMEN,DOMESTIC_VIOLENCE
Identity theft ka FIR kaise kare?,CYBER,IDENTITY_THEFT
Salary payment delayed continuously.,LABOUR,UNPAID_WAGES
Company withheld my salary illegally.,LABOUR,UNPAID_WAGES
Online fraud me paisa doob gaya.,CYBER,ONLINE_FRAUD
Security deposit agent extortion dispute.,PROPERTY,SECURITY_DEPOSIT
Salary withheld without notice.,LABOUR,UNPAID_WAGES
Cloud storage hack ho gaya.,CYBER,ACCOUNT_HACKING
I am made to work 70 hours a week without rest days.,LABOUR,WORKING_HOURS
Pet rakhne nahi de raha landlord jabki agreement me hai.,PROPERTY,TENANT_RIGHTS
What are the criteria for calculating maintenance amount in India?,WOMEN,MAINTENANCE
Identity theft action steps.,CYBER,IDENTITY_THEFT
Warranty me saman tha fir bhi paise mang rahe hain.,CONSUMER,WARRANTY
My husband's family is demanding dowry and threatening divorce.,WOMEN,DOWRY
Subletting rent dispute issue.,PROPERTY,RENT_DISPUTE
Cyber crime cyberbullying grievance.,CYBER,CYBERBULLYING
The merchant cancelled my order and has not refunded my money after 15 days.,CONSUMER,REFUND
My husband's family threw me out of the house because my parents couldn't fulfill their dowry demands.,WOMEN,DOWRY
Overtime and working hours dispute.,LABOUR,WORKING_HOURS
Office me mujhse galat tarike se baat karte hain.,LABOUR,WORKPLACE_HARASSMENT
My landlord is refusing to accept monthly rent in cash or bank transfer to create a default case.,PROPERTY,RENT_DISPUTE
Roz 12 ghante kaam karwate hain extra paisa nahi dete.,LABOUR,WORKING_HOURS
My new smartphone has a dead screen and the service center won't replace it.,CONSUMER,DEFECTIVE_PRODUCT
Tenant utility interference issue.,PROPERTY,TENANT_RIGHTS
Tenant security deposit complaint.,PROPERTY,SECURITY_DEPOSIT
The landlord is prohibiting me from keeping pets despite no clause in the agreement.,PROPERTY,TENANT_RIGHTS
What steps to take immediately after an online banking fraud?,CYBER,ONLINE_FRAUD
How to report identity theft in India?,CYBER,IDENTITY_THEFT
Advance deposit wapas nahi de raha malkin.,PROPERTY,SECURITY_DEPOSIT
Workplace bullying grievance.,LABOUR,WORKPLACE_HARASSMENT
Naya phone kharida tha aur wo kharab nikla delivery ke din hi.,CONSUMER,DEFECTIVE_PRODUCT
Can an employer force employees to work on national holidays?,LABOUR,WORKING_HOURS
My in-laws lock me in a room and subject me to domestic abuse.,WOMEN,DOMESTIC_VIOLENCE
Rent dispute complaint procedure.,PROPERTY,RENT_DISPUTE
"A group of people online are continuously trolling, threatening, and harassing me on social media.",CYBER,CYBERBULLYING
How to file a complaint for warranty denial?,CONSUMER,WARRANTY
Maintenance lene ke liye kya karna padega?,WOMEN,MAINTENANCE
Saman ko lekar rent dispute.,PROPERTY,RENT_DISPUTE
Sexual harassment dispute resolution.,WOMEN,SEXUAL_HARASSMENT
What can a tenant do if the landlord violates privacy rights?,PROPERTY,TENANT_RIGHTS
Tenant rights violation ke khilaf kya kare?,PROPERTY,TENANT_RIGHTS
Company fired me suddenly saying performance is bad without giving warning.,LABOUR,WRONGFUL_TERMINATION
