query,domain,intent
"Wrongful dismissal from company.",LABOUR,WRONGFUL_TERMINATION
"Employer terminated my contract mid-term without breach.",LABOUR,WRONGFUL_TERMINATION
"Job chali gayi achanak.",LABOUR,WRONGFUL_TERMINATION
"Fired without notice period.",LABOUR,WRONGFUL_TERMINATION
"Retrenched without notice or compensation.",LABOUR,WRONGFUL_TERMINATION
"Company ne bina notice ke nikal diya.",LABOUR,WRONGFUL_TERMINATION
"Unlawful job termination complaint.",LABOUR,WRONGFUL_TERMINATION
"My boss terminated me because of personal bias.",LABOUR,WRONGFUL_TERMINATION
"Fired unfairly from job.",LABOUR,WRONGFUL_TERMINATION
"Nikal diya company ne bina reason.",LABOUR,WRONGFUL_TERMINATION
"Unfair termination legal query.",LABOUR,WRONGFUL_TERMINATION
"Company fired me while I was on sick leave.",LABOUR,WRONGFUL_TERMINATION
"Job loss due to unfair termination.",LABOUR,WRONGFUL_TERMINATION
"Employer terminated me without warning.",LABOUR,WRONGFUL_TERMINATION
"Fired suddenly after 5 years of service.",LABOUR,WRONGFUL_TERMINATION
"Can they fire me without a formal inquiry?",LABOUR,WRONGFUL_TERMINATION
"Bina warning ke job se nikal diya.",LABOUR,WRONGFUL_TERMINATION
"My manager fired me unjustly.",LABOUR,WRONGFUL_TERMINATION
"Wrongful termination dispute.",LABOUR,WRONGFUL_TERMINATION
"Job se nikal diya bina reason.",LABOUR,WRONGFUL_TERMINATION
"Terminated without reason.",LABOUR,WRONGFUL_TERMINATION
"Boss fired me because I refused to work extra hours.",LABOUR,WRONGFUL_TERMINATION
"Sudden termination issue.",LABOUR,WRONGFUL_TERMINATION
"Can a company terminate an employee without notice?",LABOUR,WRONGFUL_TERMINATION
"Bina notice ke job se nikalne par kya kare?",LABOUR,WRONGFUL_TERMINATION
"My manager passes inappropriate sexual comments and makes me feel unsafe at work.",LABOUR,WORKPLACE_HARASSMENT
"Facing severe mental harassment and bullying by my team lead.",LABOUR,WORKPLACE_HARASSMENT
"Office me mere sath harassment ho raha hai senior dwara.",LABOUR,WORKPLACE_HARASSMENT
"I am being targeted and harassed at the workplace by my supervisor.",LABOUR,WORKPLACE_HARASSMENT
"My boss is mentally harassing me and creating a hostile work environment.",LABOUR,WORKPLACE_HARASSMENT
"Workplace harassment complaint procedure.",LABOUR,WORKPLACE_HARASSMENT
"Office me harassment ho raha hai boss pareshan kar raha hai.",LABOUR,WORKPLACE_HARASSMENT
"What can I do against workplace bullying?",LABOUR,WORKPLACE_HARASSMENT
"Colleagues are spreading false rumors and harassing me daily.",LABOUR,WORKPLACE_HARASSMENT
"Sexual harassment at office by coworker.",LABOUR,WORKPLACE_HARASSMENT
"Office me mujhse galat tarike se baat karte hain.",LABOUR,WORKPLACE_HARASSMENT
"Can I file a police complaint for workplace harassment?",LABOUR,WORKPLACE_HARASSMENT
"My supervisor is discriminating and harassing me based on my gender.",LABOUR,WORKPLACE_HARASSMENT
"Mental harassment at job.",LABOUR,WORKPLACE_HARASSMENT
"Mujhe office me torture kiya ja raha hai.",LABOUR,WORKPLACE_HARASSMENT
"Workplace bullying grievance.",LABOUR,WORKPLACE_HARASSMENT
"Employer is creating a hostile work atmosphere to force me to quit.",LABOUR,WORKPLACE_HARASSMENT
"Office harassment issue.",LABOUR,WORKPLACE_HARASSMENT
"Harassment by manager at workplace.",LABOUR,WORKPLACE_HARASSMENT
"Verbal abuse by boss in office.",LABOUR,WORKPLACE_HARASSMENT
"Office mein pareshan kiya ja raha hai.",LABOUR,WORKPLACE_HARASSMENT
"Workplace discrimination and harassment.",LABOUR,WORKPLACE_HARASSMENT
"Manager is continuously shouting and insulting me in front of everyone.",LABOUR,WORKPLACE_HARASSMENT
"Bullying at work.",LABOUR,WORKPLACE_HARASSMENT
"Boss mentally harass kar raha hai.",LABOUR,WORKPLACE_HARASSMENT
"Reporting workplace harassment in India.",LABOUR,WORKPLACE_HARASSMENT
"My team lead is threatening me with termination and harassing me.",LABOUR,WORKPLACE_HARASSMENT
"Hostile work environment complaint.",LABOUR,WORKPLACE_HARASSMENT
"Harassment by supervisor.",LABOUR,WORKPLACE_HARASSMENT
"Inappropriate behavior by senior staff.",LABOUR,WORKPLACE_HARASSMENT
"How to report workplace harassment legally?",LABOUR,WORKPLACE_HARASSMENT
"Office me bahut pareshan kar rahe hain.",LABOUR,WORKPLACE_HARASSMENT
"My boss is abusing me verbally every day.",LABOUR,WORKPLACE_HARASSMENT
"Workplace harassment and abuse.",LABOUR,WORKPLACE_HARASSMENT
"Boss gaali deta hai office me.",LABOUR,WORKPLACE_HARASSMENT
"Office harassment help.",LABOUR,WORKPLACE_HARASSMENT
"I am facing constant harassment from management after complaining.",LABOUR,WORKPLACE_HARASSMENT
"Workplace bullying and harassment.",LABOUR,WORKPLACE_HARASSMENT
"Can an employer harass an employee like this?",LABOUR,WORKPLACE_HARASSMENT
"Office me mental harassment ho raha hai.",LABOUR,WORKPLACE_HARASSMENT
"My company forces me to work 14 hours a day without any extra overtime pay.",LABOUR,WORKING_HOURS
"Am I legally required to work on weekends without compensation?",LABOUR,WORKING_HOURS
"Mujhse 12-14 ghante kaam karwate hain roz.",LABOUR,WORKING_HOURS
"My employer does not allow any breaks during my shift and demands continuous work.",LABOUR,WORKING_HOURS
"Company is violating standard working hours limits and labor laws.",LABOUR,WORKING_HOURS
"Excessive working hours complaint.",LABOUR,WORKING_HOURS
"Roz 12 ghante kaam karwate hain extra paisa nahi dete.",LABOUR,WORKING_HOURS
"What is the legal limit for working hours in India?",LABOUR,WORKING_HOURS
"My boss forces me to stay back late every night without overtime.",LABOUR,WORKING_HOURS
"Overtime and working hours dispute.",LABOUR,WORKING_HOURS
"Office me bahut late tak rokte hain bina overtime.",LABOUR,WORKING_HOURS
"Can an employer force employees to work on national holidays?",LABOUR,WORKING_HOURS
"I am made to work 70 hours a week without rest days.",LABOUR,WORKING_HOURS
"Forced overtime issue.",LABOUR,WORKING_HOURS
"Mujhe Sunday ko bhi kaam par bulate hain.",LABOUR,WORKING_HOURS
"Working hours violation.",LABOUR,WORKING_HOURS
"Company does not provide weekly off days as per rules.",LABOUR,WORKING_HOURS
"Shift timings violation.",LABOUR,WORKING_HOURS
"Excessive work hours without break.",LABOUR,WORKING_HOURS
"Mandatory overtime without pay.",LABOUR,WORKING_HOURS
"Bina overtime ke der tak rokte hain.",LABOUR,WORKING_HOURS
"Labor law working hours query.",LABOUR,WORKING_HOURS
"My employer demands 16 hours of work daily.",LABOUR,WORKING_HOURS
"Unrealistic working hours.",LABOUR,WORKING_HOURS
"Extra kaam karwate hain paisa nahi dete.",LABOUR,WORKING_HOURS
"Working hours grievance.",LABOUR,WORKING_HOURS
"Night shift timings are being forced against my contract.",LABOUR,WORKING_HOURS
"Long working hours dispute.",LABOUR,WORKING_HOURS
"Overtime payment for extra hours.",LABOUR,WORKING_HOURS
"Working hours limit in private companies.",LABOUR,WORKING_HOURS
"Can my boss force me to work overtime?",LABOUR,WORKING_HOURS
"Extra ghante kaam karwate hain.",LABOUR,WORKING_HOURS
"My company makes us work without lunch breaks.",LABOUR,WORKING_HOURS
"Working hours labor complaint.",LABOUR,WORKING_HOURS
"Roz overtime karwate hain.",LABOUR,WORKING_HOURS
"Working hours rules in India.",LABOUR,WORKING_HOURS
"My boss makes me work on all public holidays without holiday pay.",LABOUR,WORKING_HOURS
"Shift hours violation.",LABOUR,WORKING_HOURS
"Can an office force you to work 12 hours?",LABOUR,WORKING_HOURS
"Working hours ka kya rule hai?",LABOUR,WORKING_HOURS
"I ordered a smartphone online but the company is refusing to give me a refund for a returned item.",CONSUMER,REFUND
"My flight was cancelled by the airline and they are not processing my ticket refund.",CONSUMER,REFUND
"Maine saman return kiya tha par abhi tak refund nahi mila.",CONSUMER,REFUND
"The merchant cancelled my order and has not refunded my money after 15 days.",CONSUMER,REFUND
"E-commerce website is delaying my refund despite successful product return.",CONSUMER,REFUND
"Refund not received after order cancellation.",CONSUMER,REFUND
"Paisa kaat liya par refund nahi de rahe.",CONSUMER,REFUND
"How can I claim a refund for a cancelled service?",CONSUMER,REFUND
"The app charged me twice for a single booking and refuses to refund.",CONSUMER,REFUND
"Merchant refund dispute.",CONSUMER,REFUND
"Refund ke liye 2 hafte se bol raha hu koi sunta nahi.",CONSUMER,REFUND
"Can a company charge a cancellation fee and deny refund?",CONSUMER,REFUND
"I cancelled my hotel booking in advance but they are keeping my advance payment.",CONSUMER,REFUND
"Delayed refund complaint.",CONSUMER,REFUND
"Online shopping ka refund nahi mil raha.",CONSUMER,REFUND
"Refund grievance portal.",CONSUMER,REFUND
"The gym cancelled my membership but won't refund the remaining balance.",CONSUMER,REFUND
"Money refund issue.",CONSUMER,REFUND
"Refund nahi de raha dukan wala.",CONSUMER,REFUND
"Unreturned security deposit from service provider.",CONSUMER,REFUND
"Paisa wapas nahi kar raha hai.",CONSUMER,REFUND
"Refund not processed by merchant.",CONSUMER,REFUND
"I returned a defective dress but store credit was given instead of cash refund.",CONSUMER,REFUND
"Failed transaction refund query.",CONSUMER,REFUND
"Refund nahi mila company se.",CONSUMER,REFUND
"Consumer court case for refund.",CONSUMER,REFUND
"The travel agency refused to refund my booking amount after cancellation.",CONSUMER,REFUND
"Service refund dispute.",CONSUMER,REFUND
"Refund pending since last month.",CONSUMER,REFUND
"Refund delay complaint online.",CONSUMER,REFUND
"What is the remedy if a company refuses refund?",CONSUMER,REFUND
"Paisa phas gaya refund nahi ho raha.",CONSUMER,REFUND
"The coaching institute cancelled classes and denied refund.",CONSUMER,REFUND
"Product return refund problem.",CONSUMER,REFUND
"Refund nahi aaya abhi tak.",CONSUMER,REFUND
"Consumer complaint for refund delay.",CONSUMER,REFUND
"I paid for a service that was never delivered and now they won't refund.",CONSUMER,REFUND
"Payment refund issue.",CONSUMER,REFUND
"Can a merchant have a strict no-refund policy on defective goods?",CONSUMER,REFUND
"Refund ke liye kya kare?",CONSUMER,REFUND
"I bought a brand new laptop yesterday and it stopped working completely today.",CONSUMER,DEFECTIVE_PRODUCT
"The refrigerator I purchased has a faulty compressor right from day one.",CONSUMER,DEFECTIVE_PRODUCT
"Naya phone kharida tha aur wo kharab nikla delivery ke din hi.",CONSUMER,DEFECTIVE_PRODUCT
"The car I bought has a major engine defect and the dealer is not replacing it.",CONSUMER,DEFECTIVE_PRODUCT
"Received a broken and defective television set from the online store.",CONSUMER,DEFECTIVE_PRODUCT
"Defective product delivered complaint.",CONSUMER,DEFECTIVE_PRODUCT
"Kharab saman bhej diya dukan wale ne.",CONSUMER,DEFECTIVE_PRODUCT
"How to report a defective product bought online?",CONSUMER,DEFECTIVE_PRODUCT
"The washing machine is leaking and malfunctioning immediately after installation.",CONSUMER,DEFECTIVE_PRODUCT
"Faulty product replacement dispute.",CONSUMER,DEFECTIVE_PRODUCT
"Defective item mila hai exchange nahi kar rahe.",CONSUMER,DEFECTIVE_PRODUCT
"Can a seller refuse to replace a defective electronic item?",CONSUMER,DEFECTIVE_PRODUCT
"I purchased an AC that fails to cool and has a manufacturing defect.",CONSUMER,DEFECTIVE_PRODUCT
"Damaged product delivery issue.",CONSUMER,DEFECTIVE_PRODUCT
"Kharaab product de diya online order me.",CONSUMER,DEFECTIVE_PRODUCT
"Defective goods consumer complaint.",CONSUMER,DEFECTIVE_PRODUCT
"The furniture delivered to my house had broken legs and structural defects.",CONSUMER,DEFECTIVE_PRODUCT
"Defective product issue.",CONSUMER,DEFECTIVE_PRODUCT
"Saman kharab nikla badal nahi rahe.",CONSUMER,DEFECTIVE_PRODUCT
"Substandard and defective product sold.",CONSUMER,DEFECTIVE_PRODUCT
"Defective piece de diya dukan se.",CONSUMER,DEFECTIVE_PRODUCT
"Manufacturing defect complaint.",CONSUMER,DEFECTIVE_PRODUCT
"My new smartphone has a dead screen and the service center won't replace it.",CONSUMER,DEFECTIVE_PRODUCT
"Faulty goods grievance.",CONSUMER,DEFECTIVE_PRODUCT
"Kharab item bhej diya.",CONSUMER,DEFECTIVE_PRODUCT
"Consumer forum case for defective product.",CONSUMER,DEFECTIVE_PRODUCT
"The microwave oven stopped working within a week of purchase.",CONSUMER,DEFECTIVE_PRODUCT
"Defective appliance dispute.",CONSUMER,DEFECTIVE_PRODUCT
"Broken product received.",CONSUMER,DEFECTIVE_PRODUCT
"Defective product compensation claim.",CONSUMER,DEFECTIVE_PRODUCT
"What are my rights if I receive a defective item?",CONSUMER,DEFECTIVE_PRODUCT
"Kharab saman wapas nahi le rahe.",CONSUMER,DEFECTIVE_PRODUCT
"The laptop screen flickers and has hardware defects out of the box.",CONSUMER,DEFECTIVE_PRODUCT
"Defective purchase complaint.",CONSUMER,DEFECTIVE_PRODUCT
"Defective piece mil gaya.",CONSUMER,DEFECTIVE_PRODUCT
"Defective product legal action.",CONSUMER,DEFECTIVE_PRODUCT
"I bought a mixer grinder that burned out on its first use.",CONSUMER,DEFECTIVE_PRODUCT
"Defective merchandise issue.",CONSUMER,DEFECTIVE_PRODUCT
"Can I sue a company for selling a defective product?",CONSUMER,DEFECTIVE_PRODUCT
"Kharab product ke liye kya kare?",CONSUMER,DEFECTIVE_PRODUCT
"The company is refusing to repair my smartphone even though it is well within the warranty period.",CONSUMER,WARRANTY
"My laptop under active warranty broke and the service center is demanding heavy repair charges.",CONSUMER,WARRANTY
"Warranty me hai product fir bhi free repair nahi kar rahe.",CONSUMER,WARRANTY
"The authorized service center claims my warranty is void due to a fake reason.",CONSUMER,WARRANTY
"My TV under warranty has a panel issue and they keep delaying the repair.",CONSUMER,WARRANTY
"Warranty claim rejection dispute.",CONSUMER,WARRANTY
"Warranty period me kharab hua par free service nahi de rahe.",CONSUMER,WARRANTY
"What are my rights regarding product warranty in India?",CONSUMER,WARRANTY
"The washing machine motor failed during warranty but the company refuses to honor it.",CONSUMER,WARRANTY
"Warranty service denial complaint.",CONSUMER,WARRANTY
"Warranty me saman tha fir bhi paise mang rahe hain.",CONSUMER,WARRANTY
"Can a company void warranty for minor external scratches?",CONSUMER,WARRANTY
"My refrigerator compressor failed under warranty and technician is not visiting.",CONSUMER,WARRANTY
"Product warranty dispute.",CONSUMER,WARRANTY
"Warranty claim mana kar diya company ne.",CONSUMER,WARRANTY
Warranty grievance online,CONSUMER,WARRANTY
"The smartphone battery swelled up during warranty and they refused replacement.",CONSUMER,WARRANTY
"Warranty repair issue.",CONSUMER,WARRANTY
"Warranty me hai phir bhi theek nahi kar rahe.",CONSUMER,WARRANTY
"Extended warranty service fraud.",CONSUMER,WARRANTY
"Warranty claim reject kar diya bina baat ke.",CONSUMER,WARRANTY
"Consumer complaint for warranty breach.",CONSUMER,WARRANTY
"My AC under warranty is not being repaired despite multiple service requests.",CONSUMER,WARRANTY
"Warranty dispute resolution.",CONSUMER,WARRANTY
"Warranty claim reject ho gaya.",CONSUMER,WARRANTY
"Warranty violation complaint.",CONSUMER,WARRANTY
"The laptop motherboard failed within warranty but they say it is water damage falsely.",CONSUMER,WARRANTY
"Warranty service delay.",CONSUMER,WARRANTY
"Warranty me mana kar rahe hain.",CONSUMER,WARRANTY
"Warranty support issue.",CONSUMER,WARRANTY
"How to file a complaint for warranty denial?",CONSUMER,WARRANTY
"Warranty me bhi paisa mang rahe hain.",CONSUMER,WARRANTY
"The microwave parts under warranty are not available with the service center for months.",CONSUMER,WARRANTY
"Warranty claim issue.",CONSUMER,WARRANTY
"Warranty card hone ke baad bhi mana kar rahe.",CONSUMER,WARRANTY
"Warranty claim legal help.",CONSUMER,WARRANTY
"My inverter broke during warranty period and the dealer is ignoring my calls.",CONSUMER,WARRANTY
"Warranty dispute with manufacturer.",CONSUMER,WARRANTY
"Can a brand reject warranty without inspection?",CONSUMER,WARRANTY
"Warranty claim ke liye kya kare?",CONSUMER,WARRANTY
"The online store is charging hidden fees at checkout that were not displayed initially.",CONSUMER,CONSUMER,UNFAIR_TRADE
"A local shop is selling expired products by changing the manufacturing date labels.",CONSUMER,UNFAIR_TRADE
"Dukan wala expiry date badal kar saman bech raha hai.",CONSUMER,CONSUMER,UNFAIR_TRADE
"The airline practiced deceptive pricing by adding unrequested insurance fees automatically.",CONSUMER,CONSUMER,UNFAIR_TRADE
"Misleading advertisements made false claims about the product effectiveness.",CONSUMER,CONSUMER,UNFAIR_TRADE
"Unfair trade practice complaint.",CONSUMER,CONSUMER,UNFAIR_TRADE
"False advertising aur cheating kar raha hai dukan wala.",CONSUMER,CONSUMER,UNFAIR_TRADE
"How to report misleading advertisements and unfair trade practices?",CONSUMER,CONSUMER,UNFAIR_TRADE
"The car dealer forced me to buy mandatory accessories along with the vehicle.",CONSUMER,CONSUMER,UNFAIR_TRADE
"Deceptive marketing grievance.",CONSUMER,CONSUMER,UNFAIR_TRADE
"Company fake promise karke saman bech rahi hai.",CONSUMER,CONSUMER,UNFAIR_TRADE
"Can a store force tie-in purchases illegally?",CONSUMER,CONSUMER,UNFAIR_TRADE
"The builder made false promises about amenities in the brochure.",CONSUMER,CONSUMER,UNFAIR_TRADE
"Unfair business practice issue.",CONSUMER,CONSUMER,UNFAIR_TRADE
"Galat ad dikha kar loot rahe hain.",CONSUMER,CONSUMER,UNFAIR_TRADE
"Consumer protection unfair trade.",CONSUMER,CONSUMER,UNFAIR_TRADE
"The hospital overcharged me by adding unauthorized tests to my bill.",CONSUMER,CONSUMER,UNFAIR_TRADE
"Unfair trade dispute.",CONSUMER,CONSUMER,UNFAIR_TRADE
"Chhupa ke extra paisa le liya bill me.",CONSUMER,CONSUMER,UNFAIR_TRADE
"Bait and switch advertising scam by retailer.",CONSUMER,CONSUMER,UNFAIR_TRADE
"Fake claims karke product bech rahe hain.",CONSUMER,CONSUMER,UNFAIR_TRADE
"Unfair trade practice case.",CONSUMER,CONSUMER,UNFAIR_TRADE
"The supermarket charged more than MRP printed on the product packaging.",CONSUMER,CONSUMER,UNFAIR_TRADE
"MRP se zyada paisa le rahe hain.",CONSUMER,CONSUMER,UNFAIR_TRADE
"MRP se upar charge kar raha hai dukan wala.",CONSUMER,CONSUMER,UNFAIR_TRADE
"Complaint against overcharging above MRP.",CONSUMER,CONSUMER,UNFAIR_TRADE
"The restaurant added a mandatory service charge without my consent.",CONSUMER,CONSUMER,UNFAIR_TRADE
"Forced service charge issue.",CONSUMER,CONSUMER,UNFAIR_TRADE
"Restaurant wala zabardasti service charge le raha hai.",CONSUMER,CONSUMER,UNFAIR_TRADE
"Unfair trade complaint portal.",CONSUMER,CONSUMER,UNFAIR_TRADE
"What is considered an unfair trade practice under consumer law?",CONSUMER,CONSUMER,UNFAIR_TRADE
"Hidden charges laga diye bill me.",CONSUMER,CONSUMER,UNFAIR_TRADE
"The ticket booking site added hidden convenience fees at final payment.",CONSUMER,CONSUMER,UNFAIR_TRADE
"Deceptive pricing complaint.",CONSUMER,CONSUMER,UNFAIR_TRADE
"Extra charge le rahe hain bina bataye.",CONSUMER,CONSUMER,UNFAIR_TRADE
"Unfair trade practice legal action.",CONSUMER,CONSUMER,UNFAIR_TRADE
"The coaching center made false promises about 100 percent placement.",CONSUMER,CONSUMER,UNFAIR_TRADE
"Misleading claim issue.",CONSUMER,CONSUMER,UNFAIR_TRADE
"Can a company engage in deceptive trade practices?",CONSUMER,CONSUMER,UNFAIR_TRADE
"Unfair trade ke khilaf kahan complain kare?",CONSUMER,CONSUMER,UNFAIR_TRADE
"Someone tricked me into sharing my OTP and stole fifty thousand rupees from my bank account.",CYBER,ONLINE_FRAUD
"I received a fake payment link and money was debited from my account without authorization.",CYBER,ONLINE_FRAUD
"Online fraud ho gaya mere sath kisi ne account se paise nikal liye.",CYBER,ONLINE_FRAUD
"A scammer pretended to be a bank official and stole my net banking credentials.",CYBER,ONLINE_FRAUD
"I fell victim to a fake investment app scam and lost all my savings.",CYBER,ONLINE_FRAUD
"Online financial fraud complaint.",CYBER,ONLINE_FRAUD
"Cyber fraud me paise chale gaye kya karu?",CYBER,ONLINE_FRAUD
"How to report an online financial scam in India?",CYBER,ONLINE_FRAUD
"Someone cheated me through a fake UPI transaction request.",CYBER,ONLINE_FRAUD
"UPI fraud and money theft.",CYBER,ONLINE_FRAUD
"UPI se kisi ne fraud karke paise nikal liye.",CYBER,ONLINE_FRAUD
"Can I recover money lost in an online banking scam?",CYBER,ONLINE_FRAUD
"I paid money for an online product but the seller vanished without delivery.",CYBER,ONLINE_FRAUD
"Online shopping scam report.",CYBER,ONLINE_FRAUD
"Online fraud me paisa doob gaya.",CYBER,ONLINE_FRAUD
"Cyber crime financial fraud.",CYBER,ONLINE_FRAUD
"A fraudster scammed me on a classifieds website pretending to buy my old item.",CYBER,ONLINE_FRAUD
"Online scam issue.",CYBER,ONLINE_FRAUD
"Fraud karke bank account khali kar diya.",CYBER,ONLINE_FRAUD
"Phishing scam money theft complaint.",CYBER,ONLINE_FRAUD
"Online fraud ki complaint kahan darj kare?",CYBER,ONLINE_FRAUD
"Cyber fraud help.",CYBER,ONLINE_FRAUD
"Someone used a fake loan app to extort money after hacking my contacts.",CYBER,ONLINE_FRAUD
"Loan app scam and fraud.",CYBER,ONLINE_FRAUD
"Fake loan app wale blackmail kar rahe hain.",CYBER,ONLINE_FRAUD
"National cyber crime portal reporting guide.",CYBER,ONLINE_FRAUD
"I received a fraudulent lottery winning message and lost money for processing fees.",CYBER,ONLINE_FRAUD
"Lottery scam fraud report.",CYBER,ONLINE_FRAUD
"Lottery scam me paise chale gaye.",CYBER,ONLINE_FRAUD
"Online scam complaint procedure.",CYBER,ONLINE_FRAUD
"What steps to take immediately after an online banking fraud?",CYBER,ONLINE_FRAUD
"Online fraud se paise kaise wapas milenge?",CYBER,ONLINE_FRAUD
"A fake customer care number on Google caused me to lose money via remote access app.",CYBER,ONLINE_FRAUD
"Customer care scam fraud.",CYBER,ONLINE_FRAUD
"Fake customer care se fraud ho gaya.",CYBER,ONLINE_FRAUD
"Online fraud reporting steps.",CYBER,ONLINE_FRAUD
"Someone made unauthorized transactions on my credit card through a cloned website.",CYBER,ONLINE_FRAUD
"Credit card online fraud.",CYBER,ONLINE_FRAUD
"Can police catch online fraudsters?",CYBER,ONLINE_FRAUD
"Online fraud ka FIR kaise kare?",CYBER,ONLINE_FRAUD
"Someone hacked my Instagram account and is posting inappropriate messages to my friends.",CYBER,ACCOUNT_HACKING
"My email account was compromised and password changed by an unknown hacker.",CYBER,ACCOUNT_HACKING
"Mera Facebook account hack ho gaya hai koi aur chala raha hai.",CYBER,ACCOUNT_HACKING
"An unauthorized person gained access to my bank netbanking account and changed details.",CYBER,ACCOUNT_HACKING
"Someone hacked my WhatsApp account and is asking money from my contacts.",CYBER,ACCOUNT_HACKING
"Account hacking complaint.",CYBER,ACCOUNT_HACKING
"Account hack kar liya kisi ne.",CYBER,ACCOUNT_HACKING
"How to recover a hacked social media account?",CYBER,ACCOUNT_HACKING
"My corporate email login was breached by hackers.",CYBER,ACCOUNT_HACKING
"Cyber attack account compromise.",CYBER,ACCOUNT_HACKING
"Gmail account hack ho gaya password change nahi ho raha.",CYBER,ACCOUNT_HACKING
"Can I file a cyber complaint for account hacking?",CYBER,ACCOUNT_HACKING
"Someone breached my Twitter account and posted spam links.",CYBER,ACCOUNT_HACKING
"Social media account hacking report.",CYBER,ACCOUNT_HACKING
"WhatsApp hack karke paise mang raha hai.",CYBER,ACCOUNT_HACKING
"Cyber crime hacking grievance.",CYBER,ACCOUNT_HACKING
"My gaming account was stolen and all my in-game items were transferred.",CYBER,ACCOUNT_HACKING
"Gaming account hack issue.",CYBER,ACCOUNT_HACKING
"Account hack ho gaya hai.",CYBER,ACCOUNT_HACKING
"Unauthorized access to online account.",CYBER,ACCOUNT_HACKING
"Instagram account hack ho gaya recover kaise kare?",CYBER,ACCOUNT_HACKING
